Course,Applicant Income,Coapplicant Income,Cibil Score,Cgpa,Previous Score,Loan Amount,Loan Status
Engineering,887144,94359,658,5.7,51,776019,N
Law,648013,593788,597,8.5,81,440785,N
MBA,225607,169486,805,8.6,78,1009057,Y
Engineering,31585,458802,522,8.0,89,502465,N
BPhramacy,52791,146558,619,9.1,64,1150403,N
BPhramacy,935277,864120,748,8.2,73,800237,Y
MBA,843578,865739,676,6.0,68,1237787,N
MBA,468900,700871,627,7.6,67,475260,N
MBA,874870,850043,834,8.7,87,649815,Y
Degree,101585,466572,777,5.8,75,1334186,N
MTech,663153,271611,510,7.1,86,1014841,N
Degree,573627,195770,668,7.7,72,511380,N
BPhramacy,839759,183767,760,5.7,57,1228059,N
MBA,807191,132319,767,9.5,60,519166,N
BPhramacy,37129,313288,502,6.5,55,1235776,N
Degree,618433,985385,615,8.1,83,471970,N
Medicine,628478,49650,743,7.8,95,574193,Y
Degree,871287,651913,663,8.6,69,876663,N
BPhramacy,835622,333963,752,7.6,68,1373176,N
MTech,325240,511182,887,6.7,61,983442,N
Law,666690,721935,698,7.8,92,1435717,N
Engineering,79525,220871,865,8.1,68,600190,N
Law,783946,253270,549,8.5,92,932145,N
Law,873247,825896,812,7.2,73,1493160,Y
Degree,77469,291541,566,7.9,86,794842,N
MBA,429352,249146,820,6.0,50,848870,N
Medicine,742426,599878,584,6.6,86,1280645,N
MTech,803386,370798,854,7.4,61,847381,N
Law,520925,32572,618,9.4,78,799367,N
Medicine,583976,514368,524,6.6,70,503080,N
Law,376036,113520,679,6.0,88,1146001,N
Medicine,214337,673673,818,8.1,86,858530,Y
BPhramacy,119720,240428,783,5.8,95,435347,N
BPhramacy,115615,266223,603,7.1,51,452041,N
MTech,157856,377231,714,6.3,70,1416342,N
Degree,16369,134585,798,6.7,81,475072,N
Law,71021,16899,753,5.7,59,1200994,N
MTech,606875,912296,541,9.1,66,746767,N
Law,555938,517756,663,7.5,81,926789,N
Law,221229,512767,777,8.9,88,1206556,Y
Law,412588,510920,731,8.8,81,1005762,Y
Degree,224607,425021,558,7.5,67,777847,N
Degree,643013,483792,767,7.6,75,1083439,Y
Degree,25278,711688,860,8.8,76,1170987,Y
Medicine,916110,46365,784,7.0,81,915730,Y
MTech,546057,71287,802,8.7,63,1177788,N
MBA,462094,783136,554,8.8,64,698592,N
Law,888356,869554,639,7.1,59,1322339,N
Degree,262855,159236,714,8.4,89,977768,Y
MTech,961878,281902,714,8.3,65,1253883,N
BPhramacy,464367,969568,637,7.7,62,1464588,N
Medicine,814692,435808,633,9.0,82,730357,N
Degree,658173,608932,541,7.4,81,419793,N
Engineering,801307,772988,643,5.6,78,1319772,N
Medicine,774418,713937,725,6.7,67,966015,N
Medicine,735470,333762,818,7.6,58,1265964,N
Degree,452967,199575,793,6.9,69,1023325,N
Law,408348,410586,756,8.8,90,847362,Y
Medicine,824687,875804,883,6.9,82,1358480,N
Law,512696,53373,807,7.7,88,1234089,Y
BPhramacy,247810,485271,685,6.6,85,1201012,N
Medicine,399480,331966,773,8.3,87,817560,Y
Medicine,709710,958633,765,7.4,87,644762,Y
MTech,942722,50187,502,6.4,85,605277,N
Law,419717,543343,542,7.7,86,1252966,N
MBA,836867,77068,590,8.5,91,1402471,N
MTech,629156,498863,553,6.3,69,731322,N
BPhramacy,187940,452919,880,6.1,90,493145,N
MTech,601096,966816,667,6.4,78,784820,N
BPhramacy,820293,810203,877,7.2,77,855384,Y
Law,405476,735605,740,6.9,62,1159564,N
Medicine,454249,582334,864,8.1,62,1492973,N
MBA,413177,699374,553,6.3,57,1277871,N
Law,688661,489154,615,8.7,77,455229,N
Degree,299318,22097,600,8.7,54,822209,N
BPhramacy,732548,657120,642,9.1,94,643606,N
MBA,327372,71052,870,8.7,92,605371,Y
Degree,189396,386230,734,8.3,86,877940,Y
Law,418870,990419,760,6.6,71,585747,N
Engineering,877194,816817,793,6.6,63,1165687,N
Medicine,413270,912970,520,5.7,88,1311337,N
Degree,142464,230285,724,6.4,50,1188657,N
Engineering,319635,858455,651,7.3,71,483431,N
Engineering,921198,424592,719,6.3,92,1244870,N
MTech,740571,991469,558,7.8,71,1498652,N
Engineering,677268,489692,805,6.3,68,999262,N
Degree,260553,283974,649,8.0,82,527624,N
BPhramacy,898649,715878,771,9.4,83,903578,Y
Law,859002,397798,512,7.7,90,894514,N
Medicine,351025,654151,862,8.6,74,490263,Y
MTech,88541,487264,526,8.8,78,562759,N
MBA,189656,896505,748,7.3,88,1433926,Y
Engineering,640868,157897,835,8.3,93,1483686,Y
BPhramacy,114275,677069,784,5.7,57,1033044,N
Degree,978433,214390,802,7.8,75,1275380,Y
Degree,233790,749441,823,8.6,95,1103841,Y
MTech,988738,149691,647,7.4,90,1129767,N
MBA,741687,925784,717,7.3,83,685726,Y
MBA,605789,283264,512,7.5,71,727814,N
Law,441072,44474,526,7.6,92,1041023,N
Law,611281,566389,671,8.6,71,537693,N
Degree,710408,671600,526,6.2,84,597673,N
MTech,133008,88266,784,6.3,83,819924,N
Degree,390986,406517,826,7.1,79,745818,Y
Medicine,889827,874022,895,8.6,90,1455060,Y
Engineering,627765,436696,620,6.4,78,675730,N
MTech,86125,542344,840,8.1,95,440326,Y
Law,186037,542020,818,5.7,94,887770,N
Engineering,272489,165724,581,9.1,80,549654,N
BPhramacy,837296,116924,574,6.0,52,1286918,N
MTech,838072,11629,684,8.1,69,786418,N
MBA,431992,486002,556,6.1,68,601539,N
Medicine,290711,449017,716,6.2,86,457886,N
Medicine,915454,266392,577,8.0,77,481262,N
Law,292536,411703,789,8.4,55,565626,N
MTech,655660,122422,566,8.3,65,694548,N
MBA,375533,870283,601,6.9,65,1428194,N
MTech,563351,401091,530,9.2,79,938444,N
MBA,219975,181881,728,7.4,92,410673,Y
MTech,477034,332311,658,9.3,51,442295,N
BPhramacy,248993,992422,656,8.4,60,794850,N
BPhramacy,926410,941275,694,8.0,64,899392,N
Medicine,916451,41768,795,6.9,55,1169851,N
Degree,876536,543692,891,6.2,59,622303,N
MTech,600351,600691,856,8.0,76,886002,Y
Degree,11481,880634,510,9.2,50,1088015,N
Medicine,866836,48600,885,9.5,84,402440,Y
Law,300459,393475,528,6.3,57,1124871,N
Degree,480565,805243,577,5.8,83,629382,N
Degree,434392,363613,623,7.4,92,1003638,N
MBA,80263,187745,643,9.2,72,1205512,N
MBA,769605,112665,776,5.6,85,1262151,N
MBA,23711,662509,818,5.9,85,1100676,N
MTech,723524,363172,859,6.3,89,1372500,N
Law,177111,963302,696,8.3,87,1363421,N
MTech,274147,613632,513,6.4,61,578338,N
Engineering,266889,122525,593,9.1,54,757153,N
Medicine,560734,873257,737,9.0,71,916019,Y
MBA,911270,443860,887,6.1,68,1078271,N
Engineering,681841,73306,522,7.1,63,693954,N
Medicine,371810,130249,716,6.6,74,890189,N
MBA,991033,204978,601,6.8,70,594237,N
Degree,705267,33267,502,7.8,83,445910,N
Medicine,772210,346087,679,9.2,76,538205,N
BPhramacy,834343,672347,899,7.9,60,1335029,N
Medicine,777197,739899,768,6.4,50,906766,N
BPhramacy,468180,856159,677,6.1,83,736055,N
BPhramacy,839210,770877,691,6.2,76,814071,N
MBA,339408,313167,645,6.5,89,525774,N
BPhramacy,18942,630368,715,5.5,93,646905,N
MBA,564264,770164,776,9.2,87,1327540,Y
Medicine,181794,19129,501,9.2,84,551498,N
Medicine,782592,184700,673,9.4,51,894047,N
Medicine,904371,175254,592,9.0,55,961372,N
Medicine,95106,431560,781,7.6,56,1317681,N
MTech,993480,865509,676,5.7,79,1090647,N
MBA,670081,747259,744,7.3,84,425596,Y
Law,769864,156356,635,8.6,66,939323,N
Degree,92953,724031,806,6.6,70,403954,N
Degree,303340,215794,717,8.4,54,1176778,N
Law,491525,609472,685,5.9,64,1420255,N
Medicine,355905,313159,589,6.3,79,995266,N
Degree,640620,267783,844,5.7,85,483276,N
MTech,652971,349441,840,6.3,58,862854,N
Law,161304,618810,631,8.1,94,691070,N
Law,788455,205202,516,5.7,86,574200,N
MBA,398831,735398,756,8.7,53,406746,N
BPhramacy,214917,572084,808,7.5,58,1082481,N
Law,395683,912094,789,8.2,87,845942,Y
BPhramacy,486525,985097,564,8.3,95,1190376,N
Degree,474221,573935,845,6.3,64,748790,N
Degree,904240,867373,743,9.4,87,528059,Y
Law,652093,944317,527,7.4,81,785002,N
MTech,574205,670588,557,7.5,62,1293648,N
Degree,965822,754185,895,5.8,77,441387,N
Engineering,837913,925329,572,8.7,78,726243,N
Degree,220503,212107,576,9.3,71,936528,N
BPhramacy,538038,782480,699,5.6,58,1203214,N
Law,471643,915939,662,9.1,89,1045925,N
Engineering,248926,331155,553,6.3,65,491356,N
Medicine,756093,612661,796,7.1,55,1255607,N
Law,271277,666119,699,7.8,69,563202,N
MBA,857383,773898,841,5.5,56,850112,N
BPhramacy,270089,307468,534,9.4,57,882863,N
Law,618398,522747,536,9.1,80,539944,N
Engineering,130601,986721,621,8.5,59,420373,N
Law,204227,885039,887,7.6,66,493097,N
Medicine,234498,872350,555,8.3,69,884271,N
BPhramacy,516915,483051,869,8.8,51,742135,N
Degree,220388,276533,762,8.7,93,950404,Y
MTech,906235,358821,819,8.0,75,675604,Y
MBA,862201,300821,781,8.7,58,971523,N
MTech,409311,388716,751,7.1,86,1016527,Y
BPhramacy,408406,627789,761,6.8,57,1294222,N
MTech,958356,751368,713,8.7,76,542279,Y
Medicine,910416,730913,888,8.4,75,951082,Y
Degree,361973,812349,865,6.5,67,616227,N
Medicine,124352,997094,871,7.7,59,1017180,N
MBA,954793,209025,674,7.0,61,1423211,N
MTech,248065,994710,792,6.9,89,1361813,N
MTech,479548,811723,655,9.1,84,491650,N
BPhramacy,630365,274855,657,7.6,87,1474731,N
Law,778873,51918,565,8.8,70,768228,N
BPhramacy,523946,908355,690,8.1,67,955211,N
MTech,127544,931688,650,5.5,95,1383745,N
Medicine,212203,197084,603,8.2,73,1456325,N
MBA,22016,394572,652,7.6,84,1160004,N
Engineering,796563,443380,502,6.1,65,682039,N
Law,271659,365599,821,8.6,72,493875,Y
Degree,154365,758884,788,8.2,64,841075,N
Degree,199529,273327,681,7.3,77,941094,N
MBA,23551,670520,599,8.8,81,873623,N
Law,635691,120653,644,8.9,76,1222129,N
Medicine,157585,327852,701,6.8,65,1234133,N
Engineering,145002,725891,844,6.2,73,540103,N
MBA,64173,486845,700,7.3,85,1058623,Y
